name startdate enddate length diameter unit gas fix_time rock uncertainty_inlet uncertainty_outlet
HY_S01 10.03.2020 26.03.2020 0.20157 0.10118 6 H2 8 salt 200e5*0.001 60e5*0.001
HY_S03 13.03.2019 28.03.2019 0.20024 0.10122 4 H2 7 salt 200e5*0.001 60e5*0.001
HY_S05 28.03.2019 25.04.2019 0.19692 0.10119 4 H2 0 salt 200e5*0.001 60e5*0.001
HY_S05_2_CH4 17.02.2021 03.03.2021 0.19692 0.10119 6 CH4 7 salt 200e5*0.001 60e5*0.001
HY_S07 03.05.2019 04.06.2019 0.18761 0.10118 4 H2 8 salt 200e5*0.001 60e5*0.001
HY_S09_4 23.01.2020 04.02.2020 0.20095 0.10126 6 H2 7 salt 200e5*0.001 60e5*0.001
HY_S10 15.08.2019 28.08.2019 0.19948 0.10124 5 H2 7 salt 200e5*0.001 60e5*0.001
HY_S11 07.10.2020 21.10.2020 0.19677 0.10106 6 H2 7 salt 200e5*0.001 60e5*0.001
HY_S11_2_CH4 17.02.2021 03.03.2021 0.19677 0.10106 6 CH4 7 salt 200e5*0.001 60e5*0.001

HY_Z01_a 04.06.2019 18.06.2019 0.20080 0.10342 4 H2 0 cement 200e5*0.001 60e5*0.001
HY_Z02_a_3 10.07.2019 25.07.2019 0.20003 0.10341 4 H2 36 cement 200e5*0.001 60e5*0.001
HY_Z01 08.04.2020 22.04.2020 0.20162 0.10116 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z01_trocken 19.06.2020 22.04.2020 0.20162 0.10116 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z02 08.04.2020 22.04.2020 0.19870 0.10107 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z02_trocken 19.06.2020 22.04.2020 0.19870 0.10107 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z03 04.09.2019 27.09.2019 0.19956 0.10105 5 H2 6 cement 200e5*0.001 60e5*0.001
HY_Z03_2 23.01.2020 04.02.2020 0.19956 0.10105 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z04 12.02.2020 26.02.2020 0.19811 0.10164 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z04_2 28.10.2020 11.11.2020 0.19811 0.10164 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z05_CH4 08.03.2021 26.03.2021 0.19972 0.10075 6 CH4 4 cement 200e5*0.001 60e5*0.001
HY_Z06_CH4 15.03.2021 26.03.2021 0.20162 0.10064 6 CH4 4 cement 200e5*0.001 60e5*0.001
HY_Z07 16.04.2021 19.04.2021 0.20096 0.10063 6 H2 4 cement 200e5*0.001 60e5*0.001
HY_Z07_2 19.04.2021 23.04.2021 0.20096 0.10063 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z07_3 23.04.2021 23.04.2021 0.20096 0.10063 6 H2 11 cement 200e5*0.001 60e5*0.001
HY_Z07_4 26.04.2021 26.04.2021 0.20096 0.10063 6 H2 14 cement 200e5*0.001 60e5*0.001
HY_Z09 10.05.2021 07.06.2021 0.20222 0.10006 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z09_2_CH4 15.06.2021 28.06.2021 0.20222 0.10006 6 CH4 43 cement 200e5*0.001 60e5*0.001
HY_Z10 10.05.2021 07.06.2021 0.19639 0.10033 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z10_2_CH4 15.06.2021 28.06.2021 0.19639 0.10033 6 CH4 43 cement 200e5*0.001 60e5*0.001
HY_Z11 13.07.2021 28.07.2021 0.19928 0.10034 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z11_2 28.07.2021 02.08.2021 0.19928 0.10034 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z11_3_CH4 09.08.2021 16.08.2021 0.19928 0.10034 6 CH4 7 cement 200e5*0.001 60e5*0.001
HY_Z12 13.07.2021 28.07.2021 0.20137 0.10030 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z12_2 28.07.2021 02.08.2021 0.20137 0.10030 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z12_3_CH4 09.08.2021 06.09.2021 0.20137 0.10030 6 CH4 7 cement 200e5*0.001 60e5*0.001

HY_Z12_02 20.09.2021 20.09.2021 0.20137 0.10030 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z12_04 21.09.2021 21.09.2021 0.20137 0.10030 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z12_06 22.09.2021 23.09.2021 0.20137 0.10030 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z12_07 23.09.2021 27.09.2021 0.20137 0.10030 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z12_08 27.09.2021 28.09.2021 0.20137 0.10030 6 H2 7 cement 200e5*0.001 60e5*0.001

HY_Z09_03 29.09.2021 30.09.2021 0.20222 0.10006 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z09_04 30.09.2021 30.09.2021 0.20222 0.10006 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z09_05 30.09.2021 04.10.2021 0.20222 0.10006 6 H2 1 cement 200e5*0.001 60e5*0.001

HY_Z20 05.10.2021 06.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_02 06.10.2021 07.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_03 07.10.2021 08.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_04 11.10.2021 12.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_05 12.10.2021 13.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_06 13.10.2021 14.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_07 14.10.2021 15.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_08 15.10.2021 18.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_09 21.10.2021 25.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_10 25.10.2021 26.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_11 26.10.2021 27.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_12 27.10.2021 27.10.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z20_13 01.11.2021 02.11.2021 0.11122 0.10328 6 H2 1 cement 200e5*0.001 60e5*0.001

HY_Z21 05.10.2021 05.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_02 06.10.2021 07.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_03 07.10.2021 08.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_04 11.10.2021 12.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_05 12.10.2021 13.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_06 13.10.2021 14.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_07 14.10.2021 15.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_08 15.10.2021 18.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_09 21.10.2021 25.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_10 25.10.2021 26.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_11 26.10.2021 27.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_12 27.10.2021 27.10.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001
HY_Z21_13 01.11.2021 02.11.2021 0.10407 0.10335 6 H2 1 cement 200e5*0.001 60e5*0.001

HY_Z22 10.11.2021 12.11.2021 0.10707 0.10332 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z22_02 23.11.2021 26.11.2021 0.10707 0.10332 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z22_03 26.11.2021 03.12.2021 0.10707 0.10332 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z22_04 03.12.2021 13.12.2021 0.10707 0.10332 6 H2 7 cement 200e5*0.001 60e5*0.001
HY_Z22_05 13.12.2021 15.12.2021 0.10707 0.10332 6 H2 7 cement 200e5*0.001 60e5*0.001
