name startdate enddate length outer_diameter inner_diameter unit gas fix_time rock
HY_RV1 02.09.2020 16.09.2020 0.8000 0.2880 0.1680 7 H2 6 cement/casing
HY_RV1_2 16.10.2020 21.10.2020 0.8000 0.2880 0.1680 7 H2 4 cement/casing
HY_RV2 15.12.2020 18.12.2020 0.1300 0.2880 0.1680 7 H2 6 cement/casing
HY_RV2_2 15.01.2021 18.01.2021 0.1300 0.2880 0.1680 7 H2 1 cement/casing
HY_RV2_3 20.01.2021 22.01.2021 0.1300 0.2880 0.1680 7 H2 6 cement/casing
HY_RV2_4 27.01.2021 03.02.2021 0.1300 0.2880 0.1680 7 H2 17 cement/casing
HY_RV3 17.02.2021 19.02.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_2 08.03.2021 10.03.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_3 12.03.2021 15.03.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_4 19.03.2021 22.03.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_5 26.03.2021 29.03.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_6 09.04.2021 12.04.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_7 16.04.2021 19.04.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_8 19.04.2021 22.04.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_9 23.04.2021 26.04.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_10 26.04.2021 30.04.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_11 30.04.2021 02.05.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
HY_RV3_12 03.05.2021 03.05.2021 0.1300 0.2880 0.1680 7 H2 0 cement/casing
